timestamp,sessionId,participantId,trialIndex,trialElapsed,speakerId,azimuth,range,direction,distance,speakingState,turnState,semanticToken,urgency,targetObjectId,utteranceText,semanticConfidence,priority,selectedForTransmission,selectionReason,condition
6.743,20260706_230957,P00,1,3.544,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.40,true,selection_disabled,TRADITIONAL
6.844,20260706_230957,P00,1,3.644,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.45,true,selection_disabled,TRADITIONAL
6.844,20260706_230957,P00,1,3.644,B,19.65,4.46,FRONT,FAR,SPEAKING,TURN_HOLDER,ANSWER,LOW,Pump3,"Yes, that part looks aligned.",0.95,0.55,true,selection_disabled,TRADITIONAL
6.844,20260706_230957,P00,1,3.644,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.40,true,selection_disabled,TRADITIONAL
6.944,20260706_230957,P00,1,3.745,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.45,true,selection_disabled,TRADITIONAL
6.944,20260706_230957,P00,1,3.745,B,19.65,4.46,FRONT,FAR,SPEAKING,TURN_HOLDER,ANSWER,LOW,Pump3,"Yes, that part looks aligned.",0.95,0.55,true,selection_disabled,TRADITIONAL
6.944,20260706_230957,P00,1,3.745,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.40,true,selection_disabled,TRADITIONAL
7.045,20260706_230957,P00,1,3.845,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.45,true,selection_disabled,TRADITIONAL
7.045,20260706_230957,P00,1,3.845,B,19.65,4.46,FRONT,FAR,SPEAKING,TURN_HOLDER,ANSWER,LOW,Pump3,"Yes, that part looks aligned.",0.95,0.55,true,selection_disabled,TRADITIONAL
7.045,20260706_230957,P00,1,3.845,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.40,true,selection_disabled,TRADITIONAL
7.146,20260706_230957,P00,1,3.947,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.45,true,selection_disabled,TRADITIONAL
7.146,20260706_230957,P00,1,3.947,B,19.65,4.46,FRONT,FAR,SPEAKING,TURN_HOLDER,ANSWER,LOW,Pump3,"Yes, that part looks aligned.",0.95,0.55,true,selection_disabled,TRADITIONAL
7.146,20260706_230957,P00,1,3.947,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.40,true,selection_disabled,TRADITIONAL
7.247,20260706_230957,P00,1,4.047,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.45,true,selection_disabled,TRADITIONAL
7.247,20260706_230957,P00,1,4.047,B,19.65,4.46,FRONT,FAR,SPEAKING,TURN_HOLDER,ANSWER,LOW,Pump3,"Yes, that part looks aligned.",0.95,0.55,true,selection_disabled,TRADITIONAL
7.247,20260706_230957,P00,1,4.047,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.40,true,selection_disabled,TRADITIONAL
7.348,20260706_230957,P00,1,4.148,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.45,true,selection_disabled,TRADITIONAL
7.348,20260706_230957,P00,1,4.148,B,19.65,4.46,FRONT,FAR,SPEAKING,TURN_HOLDER,ANSWER,LOW,Pump3,"Yes, that part looks aligned.",0.95,0.55,true,selection_disabled,TRADITIONAL
7.348,20260706_230957,P00,1,4.148,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.40,true,selection_disabled,TRADITIONAL
7.449,20260706_230957,P00,1,4.249,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.45,true,selection_disabled,TRADITIONAL
7.449,20260706_230957,P00,1,4.249,B,19.65,4.46,FRONT,FAR,SPEAKING,TURN_HOLDER,ANSWER,LOW,Pump3,"Yes, that part looks aligned.",0.95,0.55,true,selection_disabled,TRADITIONAL
7.449,20260706_230957,P00,1,4.249,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.40,true,selection_disabled,TRADITIONAL
7.550,20260706_230957,P00,1,4.350,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.45,true,selection_disabled,TRADITIONAL
7.550,20260706_230957,P00,1,4.350,B,19.65,4.46,FRONT,FAR,SPEAKING,TURN_HOLDER,ANSWER,LOW,Pump3,"Yes, that part looks aligned.",0.95,0.55,true,selection_disabled,TRADITIONAL
7.550,20260706_230957,P00,1,4.350,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.40,true,selection_disabled,TRADITIONAL
7.651,20260706_230957,P00,1,4.452,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.45,true,selection_disabled,TRADITIONAL
7.651,20260706_230957,P00,1,4.452,B,19.65,4.46,FRONT,FAR,SPEAKING,TURN_HOLDER,ANSWER,LOW,Pump3,"Yes, that part looks aligned.",0.95,0.55,true,selection_disabled,TRADITIONAL
7.651,20260706_230957,P00,1,4.452,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.40,true,selection_disabled,TRADITIONAL
7.751,20260706_230957,P00,1,4.552,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.45,true,selection_disabled,TRADITIONAL
7.751,20260706_230957,P00,1,4.552,B,19.65,4.46,FRONT,FAR,SPEAKING,TURN_HOLDER,ANSWER,LOW,Pump3,"Yes, that part looks aligned.",0.95,0.55,true,selection_disabled,TRADITIONAL
7.751,20260706_230957,P00,1,4.552,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.40,true,selection_disabled,TRADITIONAL
7.852,20260706_230957,P00,1,4.653,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.45,true,selection_disabled,TRADITIONAL
7.852,20260706_230957,P00,1,4.653,B,19.65,4.46,FRONT,FAR,SPEAKING,TURN_HOLDER,ANSWER,LOW,Pump3,"Yes, that part looks aligned.",0.95,0.55,true,selection_disabled,TRADITIONAL
7.852,20260706_230957,P00,1,4.653,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.40,true,selection_disabled,TRADITIONAL
7.952,20260706_230957,P00,1,4.753,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.45,true,selection_disabled,TRADITIONAL
7.952,20260706_230957,P00,1,4.753,B,19.65,4.46,FRONT,FAR,SPEAKING,TURN_HOLDER,ANSWER,LOW,Pump3,"Yes, that part looks aligned.",0.95,0.55,true,selection_disabled,TRADITIONAL
7.952,20260706_230957,P00,1,4.753,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.40,true,selection_disabled,TRADITIONAL
8.054,20260706_230957,P00,1,4.854,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.45,true,selection_disabled,TRADITIONAL
8.054,20260706_230957,P00,1,4.854,B,19.65,4.46,FRONT,FAR,SPEAKING,TURN_HOLDER,ANSWER,LOW,Pump3,"Yes, that part looks aligned.",0.95,0.55,true,selection_disabled,TRADITIONAL
8.054,20260706_230957,P00,1,4.854,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.40,true,selection_disabled,TRADITIONAL
