timestamp,sessionId,participantId,trialIndex,trialElapsed,speakerId,azimuth,range,direction,distance,speakingState,turnState,semanticToken,utteranceText,semanticConfidence,condition
3.252,20260630_140909,P00,1,2.169,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
3.352,20260630_140909,P00,1,2.269,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
3.352,20260630_140909,P00,1,2.269,B,19.65,4.46,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
3.352,20260630_140909,P00,1,2.269,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
3.453,20260630_140909,P00,1,2.369,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
3.453,20260630_140909,P00,1,2.369,B,19.65,4.46,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
3.453,20260630_140909,P00,1,2.369,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
3.553,20260630_140909,P00,1,2.470,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
3.553,20260630_140909,P00,1,2.470,B,19.65,4.46,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
3.553,20260630_140909,P00,1,2.470,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
3.656,20260630_140909,P00,1,2.573,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
3.656,20260630_140909,P00,1,2.573,B,19.65,4.46,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
3.656,20260630_140909,P00,1,2.573,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
3.756,20260630_140909,P00,1,2.673,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
3.756,20260630_140909,P00,1,2.673,B,19.65,4.46,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
3.756,20260630_140909,P00,1,2.673,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
3.857,20260630_140909,P00,1,2.774,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
3.857,20260630_140909,P00,1,2.774,B,19.65,4.46,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
3.857,20260630_140909,P00,1,2.774,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
3.957,20260630_140909,P00,1,2.874,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
3.957,20260630_140909,P00,1,2.874,B,19.65,4.46,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
3.957,20260630_140909,P00,1,2.874,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
4.058,20260630_140909,P00,1,2.975,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
4.058,20260630_140909,P00,1,2.975,B,19.65,4.46,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
4.058,20260630_140909,P00,1,2.975,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
4.159,20260630_140909,P00,1,3.076,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
4.159,20260630_140909,P00,1,3.076,B,19.65,4.46,FRONT,FAR,SPEAKING,TURN_HOLDER,ANSWER,"Yes, that part looks aligned.",0.95,TRADITIONAL
4.159,20260630_140909,P00,1,3.076,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
4.260,20260630_140909,P00,1,3.177,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
4.260,20260630_140909,P00,1,3.177,B,19.65,4.46,FRONT,FAR,SPEAKING,TURN_HOLDER,ANSWER,"Yes, that part looks aligned.",0.95,TRADITIONAL
4.260,20260630_140909,P00,1,3.177,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
4.361,20260630_140909,P00,1,3.277,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
4.361,20260630_140909,P00,1,3.277,B,19.65,4.46,FRONT,FAR,SPEAKING,TURN_HOLDER,ANSWER,"Yes, that part looks aligned.",0.95,TRADITIONAL
4.361,20260630_140909,P00,1,3.277,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
4.461,20260630_140909,P00,1,3.378,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
4.461,20260630_140909,P00,1,3.378,B,19.65,4.46,FRONT,FAR,SPEAKING,TURN_HOLDER,ANSWER,"Yes, that part looks aligned.",0.95,TRADITIONAL
4.461,20260630_140909,P00,1,3.378,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
4.562,20260630_140909,P00,1,3.478,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
4.562,20260630_140909,P00,1,3.478,B,19.65,4.46,FRONT,FAR,SPEAKING,TURN_HOLDER,ANSWER,"Yes, that part looks aligned.",0.95,TRADITIONAL
4.562,20260630_140909,P00,1,3.478,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
4.662,20260630_140909,P00,1,3.579,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
4.662,20260630_140909,P00,1,3.579,B,19.65,4.46,FRONT,FAR,SPEAKING,TURN_HOLDER,ANSWER,"Yes, that part looks aligned.",0.95,TRADITIONAL
4.662,20260630_140909,P00,1,3.579,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
4.763,20260630_140909,P00,1,3.679,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
4.763,20260630_140909,P00,1,3.679,B,19.65,4.46,FRONT,FAR,SPEAKING,TURN_HOLDER,ANSWER,"Yes, that part looks aligned.",0.95,TRADITIONAL
4.763,20260630_140909,P00,1,3.679,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
4.863,20260630_140909,P00,1,3.780,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
4.863,20260630_140909,P00,1,3.780,B,19.65,4.46,FRONT,FAR,SPEAKING,TURN_HOLDER,ANSWER,"Yes, that part looks aligned.",0.95,TRADITIONAL
4.863,20260630_140909,P00,1,3.780,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
4.963,20260630_140909,P00,1,3.880,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
4.963,20260630_140909,P00,1,3.880,B,19.65,4.46,FRONT,FAR,SPEAKING,TURN_HOLDER,ANSWER,"Yes, that part looks aligned.",0.95,TRADITIONAL
4.963,20260630_140909,P00,1,3.880,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
5.065,20260630_140909,P00,1,3.981,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
5.065,20260630_140909,P00,1,3.981,B,19.65,4.46,FRONT,FAR,SPEAKING,TURN_HOLDER,ANSWER,"Yes, that part looks aligned.",0.95,TRADITIONAL
5.065,20260630_140909,P00,1,3.981,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
5.165,20260630_140909,P00,1,4.082,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
5.165,20260630_140909,P00,1,4.082,B,19.65,4.46,FRONT,FAR,SPEAKING,TURN_HOLDER,ANSWER,"Yes, that part looks aligned.",0.95,TRADITIONAL
5.165,20260630_140909,P00,1,4.082,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
5.266,20260630_140909,P00,1,4.183,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
5.266,20260630_140909,P00,1,4.183,B,19.65,4.46,FRONT,FAR,SPEAKING,TURN_HOLDER,ANSWER,"Yes, that part looks aligned.",0.95,TRADITIONAL
5.266,20260630_140909,P00,1,4.183,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
5.366,20260630_140909,P00,1,4.283,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
5.366,20260630_140909,P00,1,4.283,B,19.65,4.46,FRONT,FAR,SPEAKING,TURN_HOLDER,ANSWER,"Yes, that part looks aligned.",0.95,TRADITIONAL
5.366,20260630_140909,P00,1,4.283,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
5.467,20260630_140909,P00,1,4.384,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
5.467,20260630_140909,P00,1,4.384,B,19.65,4.46,FRONT,FAR,SPEAKING,TURN_HOLDER,ANSWER,"Yes, that part looks aligned.",0.95,TRADITIONAL
5.467,20260630_140909,P00,1,4.384,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
5.567,20260630_140909,P00,1,4.484,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
5.567,20260630_140909,P00,1,4.484,B,19.65,4.46,FRONT,FAR,SPEAKING,TURN_HOLDER,ANSWER,"Yes, that part looks aligned.",0.95,TRADITIONAL
5.567,20260630_140909,P00,1,4.484,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
5.667,20260630_140909,P00,1,4.584,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
5.667,20260630_140909,P00,1,4.584,B,19.65,4.46,FRONT,FAR,SPEAKING,TURN_HOLDER,ANSWER,"Yes, that part looks aligned.",0.95,TRADITIONAL
5.667,20260630_140909,P00,1,4.584,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
5.768,20260630_140909,P00,1,4.685,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
5.768,20260630_140909,P00,1,4.685,B,19.65,4.46,FRONT,FAR,SPEAKING,TURN_HOLDER,ANSWER,"Yes, that part looks aligned.",0.95,TRADITIONAL
5.768,20260630_140909,P00,1,4.685,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
5.869,20260630_140909,P00,1,4.786,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
5.869,20260630_140909,P00,1,4.786,B,19.65,4.46,FRONT,FAR,SPEAKING,TURN_HOLDER,ANSWER,"Yes, that part looks aligned.",0.95,TRADITIONAL
5.869,20260630_140909,P00,1,4.786,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
5.971,20260630_140909,P00,1,4.888,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
5.971,20260630_140909,P00,1,4.888,B,19.65,4.46,FRONT,FAR,SPEAKING,TURN_HOLDER,ANSWER,"Yes, that part looks aligned.",0.95,TRADITIONAL
5.971,20260630_140909,P00,1,4.888,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
6.071,20260630_140909,P00,1,4.988,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
6.071,20260630_140909,P00,1,4.988,B,19.65,4.46,FRONT,FAR,SPEAKING,TURN_HOLDER,ANSWER,"Yes, that part looks aligned.",0.95,TRADITIONAL
6.071,20260630_140909,P00,1,4.988,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
6.172,20260630_140909,P00,1,5.089,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
6.172,20260630_140909,P00,1,5.089,B,19.65,4.46,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
6.172,20260630_140909,P00,1,5.089,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
