timestamp,condition,tokensPerSecond,jsonBytesPerSecond,compactBytesPerSecond,objectMetadataBytesPerSecond,compactSavingsRatio
156.710,DIRECTION_DISTANCE,29.83,2415.85,268.43,507.03,0.4706
157.717,DIRECTION_DISTANCE,29.77,2366.76,267.94,506.10,0.4706
158.723,DIRECTION_DISTANCE,29.84,2362.49,268.58,507.31,0.4706
159.728,DIRECTION_DISTANCE,29.83,2396.51,268.49,507.14,0.4706
160.734,DIRECTION_DISTANCE,29.84,2373.96,268.53,507.21,0.4706
161.738,DIRECTION_DISTANCE,29.87,2467.01,268.80,507.74,0.4706
162.745,DIRECTION_DISTANCE,29.80,2473.24,268.18,506.57,0.4706
163.750,DIRECTION_DISTANCE,29.84,2383.09,268.55,507.25,0.4706
164.758,DIRECTION_DISTANCE,29.78,2372.77,268.05,506.32,0.4706
165.765,DIRECTION_DISTANCE,29.77,2421.67,267.97,506.17,0.4706
166.771,DIRECTION_DISTANCE,29.82,2416.33,268.37,506.92,0.4706
167.780,DIRECTION_DISTANCE,29.73,2408.39,267.60,505.46,0.4706
168.788,DIRECTION_DISTANCE,29.78,2331.64,268.00,506.23,0.4706
169.794,DIRECTION_DISTANCE,29.82,2388.24,268.34,506.87,0.4706
170.799,DIRECTION_DISTANCE,29.86,2398.47,268.71,507.56,0.4706
171.810,DIRECTION_DISTANCE,29.65,2384.13,266.88,504.11,0.4706
172.816,DIRECTION_DISTANCE,29.85,2495.21,268.62,507.40,0.4706
173.822,DIRECTION_DISTANCE,29.81,2424.87,268.33,506.84,0.4706
174.827,DIRECTION_DISTANCE,29.84,2343.27,268.54,507.24,0.4706
175.835,DIRECTION_DISTANCE,29.78,2422.08,268.02,506.25,0.4706
176.840,DIRECTION_DISTANCE,29.85,2424.05,268.68,507.50,0.4706
177.848,DIRECTION_DISTANCE,29.76,2410.73,267.86,505.95,0.4706
178.853,DIRECTION_DISTANCE,29.82,2379.84,268.40,506.98,0.4706
179.860,DIRECTION_DISTANCE,29.80,2351.99,268.18,506.55,0.4706
180.868,DIRECTION_DISTANCE,29.76,2390.70,267.84,505.92,0.4706
181.874,DIRECTION_DISTANCE,29.82,2367.91,268.40,506.98,0.4706
182.880,DIRECTION_DISTANCE,29.82,2457.23,268.39,506.95,0.4706
183.887,DIRECTION_DISTANCE,29.81,2484.19,268.29,506.78,0.4706
184.892,DIRECTION_DISTANCE,29.84,2391.52,268.60,507.35,0.4706
185.905,DIRECTION_DISTANCE_SPEAKING,29.60,2371.34,266.44,503.28,0.4706
186.911,DIRECTION_DISTANCE_SPEAKING,29.82,2415.48,268.39,506.95,0.4706
187.918,DIRECTION_DISTANCE_SPEAKING,29.79,2350.50,268.12,506.45,0.4706
